title,price,url,brand,badges,sale_price,image
Hario Coffee Dripper V60 Size 03 Clear Plastic,15.5,https://prima-coffee.com/equipment/hario/vd-03t,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8461/images/91101/hario-v60-size-03-th__76283.1602007208.1280.1280.jpg?c=1
Hatfields London Nitrogen Coffee Cocktail Chargers for the NitroPress (Box of 10),15.99,https://prima-coffee.com/equipment/hatfields-london/hlc-0001-hatfi,NitroPress,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8147/images/89168/hatfields-london-n2-chargers-nitropress-3__70298.1597181434.1280.1280.jpg?c=1
Third Wave Water 1 Gallon Sticks - 12 Dose Pack,16.0,https://prima-coffee.com/equipment/third-wave-water/third-wave-water,Third Wave Water,"['Recommended', 'Subscription']",0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8420/images/96514/1G_Light_Front__60845.1733503506.1280.1280.jpg?c=1
Stainless Yama Coffee Siphon Filter,16.0,https://prima-coffee.com/equipment/yama/yamftlfl,Yama,['Subscription'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8537/images/90857/yama-stainless-siphon-filter__86052.1597185383.1280.1280.jpg?c=1
Sibarist FAST Filters for Kalita 185,16.0,https://prima-coffee.com/equipment/sibarist/fast-flat-sibar-pp,Sibarist,['Subscription'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10612/images/94225/sibarist-kalita-wbg-1__26848.1657552755.1280.1280.jpg?c=1
Sibarist FAST Filters for Hario V60 01/02,16.0,https://prima-coffee.com/equipment/sibarist/fastfilters-sibar-pp,Sibarist,['Subscription'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9912/images/88847/sibarist-filters-front__08989.1597180718.1280.1280.jpg?c=1
Bee House Ceramic Coffee Dripper,19.99,https://prima-coffee.com/equipment/zero-japan/bkk-15l-wh,Zero Japan,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8721/images/88249/beehouse-dripper-yellow__67300.1597179148.1280.1280.jpg?c=1
Crystal Eye Dripper 02,20.0,https://prima-coffee.com/equipment/timemore/70tdp008aa101-timem-sp,Timemore,['Out Of Stock'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10025/images/91433/timemore-dripper-wbg-1__16277.1607712060.1280.1280.jpg?c=1
Large Digit Airpot Timer,21.99,https://prima-coffee.com/equipment/espresso-supply/02626-es-su-sp,CDN,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7558/images/87241/espresso-supply-02626-large-digit-airpot-timer-wbg__16591.1598630517.1280.1280.jpg?c=1
Yama Siphon Top Glass Replacement for TCA-3D,22.0,https://prima-coffee.com/parts/yama/tca-3d-top,Yama,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8409/images/90397/3-cup-top2__55077.1597184227.1280.1280.jpg?c=1
Yama Siphon Bottom Glass Replacement for TCA-3D,22.0,https://prima-coffee.com/parts/yama/tca-3d-bottom,Yama,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8408/images/90396/3-cup-bottom__46192.1597184220.1280.1280.jpg?c=1
Yama Siphon Bottom Glass Replacement Part for TCA-5D,22.0,https://prima-coffee.com/parts/yama/tca-5d-bottom,Yama,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8412/images/90403/5-cup-bottom__36505.1597184249.1280.1280.jpg?c=1
Hario V60 Ceramic Filter Holder,23.5,https://prima-coffee.com/equipment/hario/vps-100w,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8481/images/90672/hario-vps-100w-filter-holder__67943.1597184887.1280.1280.jpg?c=1
notNeutral - GINO Glass Coffee Dripper,24.0,https://prima-coffee.com/equipment/notneutral/gino-dripper,notNeutral,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8126/images/89062/notneutral-gino-dripper__56459.1597181209.1280.1280.jpg?c=1
Baratza Sette Single Dose Hopper,24.0,https://prima-coffee.com/equipment/baratza/s916-b-barat-sp,Baratza,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11311/images/95324/SP0101640.SetteSingleDoseHopperBlack.s916B-_Full_Res-Grey-1300x1300__44766.1693934688.1280.1280.jpg?c=1
Hario V60 Fretta Iced Coffee Brewer,24.5,https://prima-coffee.com/equipment/hario/vic-02b,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8472/images/90633/hario-fretta-iced-brewer__10280.1597184830.1280.1280.jpg?c=1
Yama Siphon Top Glass Replacement for TCA-5D,27.0,https://prima-coffee.com/parts/yama/tca-5d-top,Yama,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8413/images/90404/5-cup-top__14089.1597184258.1280.1280.jpg?c=1
Fetco F003 filters 9 3/4 in. X 4 1/2 in. 1000 Count,28.73,https://prima-coffee.com/equipment/fetco/f003,Fetco,"['On Sale', 'Free Shipping', 'Subscription']",39.99,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8084/images/88844/f003__63168.1597180699.1280.1280.jpg?c=1
Jennings CJ4000 Scale,29.0,https://prima-coffee.com/equipment/jennings/sccj4000bk,Jennings,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8356/images/90186/jenning-cj4000-front__89165.1597183677.1280.1280.jpg?c=1
Fellow Atmos Vacuum Canister,29.95,https://prima-coffee.com/equipment/fellow-products/1168-fe-pr-pp,Fellow Products,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9976/images/91258/Screen_Shot_2020-10-23_at_3.48.13_PM__40566.1603901276.1280.1280.png?c=1
The Coffee Brewer's Logbook,30.0,https://prima-coffee.com/equipment/prima-coffee/thcffbrwrlg-th-co-sp,The Coffee Brewer's Logbook,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10107/images/91872/the-coffee-brewers-log-book-wbg-2__84831.1619782301.1280.1280.jpg?c=1
Cona Glass Filter Rod For Siphon Brewers,30.0,https://prima-coffee.com/equipment/cona/cona-rod,Cona,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8013/images/94938/Cona-Dripping-Rod-WBG-1__06885.1682002775.1280.1280.jpg?c=1
Hario V60 Drip Decanter,30.5,https://prima-coffee.com/equipment/hario/vdd-02b,Hario,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8615/images/90599/hario-v60-drip-decanter__65143.1597184759.1280.1280.jpg?c=1
32 oz AirScape Coffee Storage Container,31.0,https://prima-coffee.com/equipment/planetary-design/airscape-bl-s,Planetary Design,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7845/images/93099/Airscape_Stainless_CoffeeCanister_Matte_Black_AS1704_02_web__03797.1646240355.1280.1280.jpg?c=1
Hario Metal Coffee Press,31.05,https://prima-coffee.com/equipment/hario/hario-coffee-press,Hario,"['Out Of Stock', 'On Sale']",34.5,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8138/images/89100/hario-bright-j-wbg__71135.1597181333.1280.1280.jpg?c=1
