title,price,url,brand,badges,sale_price,image
IKAPE Espresso Bar Brush Cleaning Set,$29.99,https://prima-coffee.com/equipment/ikape/esp-cleaning-brush-set-ikape-sp,IKAPE,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11424/images/96249/1_9ea42c2e-cba9-4abd-bb46-93617ff11526__87189.1714586838.1280.1280.jpg?c=1
Urnex GRINDZ Grinder Cleaning Tablets (430g Jar),$29.99,https://prima-coffee.com/equipment/urnex/101853-urnex-sp,Urnex,['Subscription'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11329/images/95458/17-g01-ux430_hires__26541.1696010949.1280.1280.jpg?c=1
Normcore Ultra-Slim 0.2mm Puck Screen w/ Titanium PVD Coating,$19.99,https://prima-coffee.com/equipment/normcore/ultra-slim-58-5-normc-pp,Normcore,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11416/images/96234/normcore-wares--normcore-ultra-slim-0-2-mm-puck-screen-316-stainless-steel-with-titanium-pvd-coating-39411345654008__47024.1714585763.1280.1280.jpg?c=1
Peak Water Hardness Test Strips,$5.00,https://prima-coffee.com/equipment/peak-water/pwt001-pe-wa-sp,Peak Water,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10019/images/91380/peak-water-test-strips-1_1__45249.1606763252.1280.1280.jpg?c=1
Sibarist FAST Filters for Hario V60 01/02,$16.00,https://prima-coffee.com/equipment/sibarist/fastfilters-sibar-pp,Sibarist,['Subscription'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9912/images/88847/sibarist-filters-front__08989.1597180718.1280.1280.jpg?c=1
Weber Workshops EPF Espresso Paper Filter,$7.50,https://prima-coffee.com/equipment/weber-workshops/epf-100-pack-we-wo-pp,Weber Workshops,['Subscription'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11218/images/94889/Weber-Workshops-EPF-Espresso-Paper-Filter-WBG-1__99351.1679933286.1280.1280.jpg?c=1
Blind Backflush Basket - 58mm,$8.00,https://prima-coffee.com/equipment/chris-coffee-service/bfdg,Chris' Coffee Service,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8981/images/88186/bfdg-blind-filter-disk__81041.1597178987.1280.1280.jpg?c=1
Litmus Coffee UFO Spray Head for Curtis Batch Brewers,$60.00,https://prima-coffee.com/equipment/litmus-coffee-labs/ufo-curtis-li-co-sp,Litmus Coffee Labs,['Recommended'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8436/images/90480/litmus-ufo-sprayhead-curtis-front__26453.1597184529.1280.1280.jpg?c=1
Curtis WC-3417 Plastic Brew Cone Assembly with Splash Pocket,$34.99,https://prima-coffee.com/equipment/curtis/wc-3417,Curtis,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8495/images/90727/wc-3417__69726.1597185031.1280.1280.jpg?c=1
Specialty Turkish Coffee Olivewood Stirring Paddle,$12.00,https://prima-coffee.com/equipment/specialty-turkish-coffee/stc-paddle,Specialty Turkish Coffee,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8383/images/90273/stc-paddle__75491.1597183967.1280.1280.jpg?c=1
CoffeeSock Cloth Filter for Hario V60 02,$13.99,https://prima-coffee.com/equipment/coffeesock/cs-v2,CoffeeSock,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8017/images/95054/V2__64267.1683739781.1280.1280.jpg?c=1
"Revolution Edge Tamping Mat 8.35"" X 6.10”",$23.99,https://prima-coffee.com/equipment/revolution/rv-tmedge-revol-sp,Revolution,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11241/images/95085/Revolution_Tamping_Mat_8.35_x6.10__WBG-2__46847.1685553218.1280.1280.jpg?c=1
Rancilio Bottomless Portafilter,$90.00,https://prima-coffee.com/equipment/rancilio/rrbpf,Rancilio,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8346/images/95117/Rancillio_Bottomless_Portafilter-WBG-1__58652.1687450922.1280.1280.jpg?c=1
Cona Glass Filter Rod For Siphon Brewers,$30.00,https://prima-coffee.com/equipment/cona/cona-rod,Cona,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8013/images/94938/Cona-Dripping-Rod-WBG-1__06885.1682002775.1280.1280.jpg?c=1
Lotus Coffee Water Magnesium Chloride,$12.50,https://prima-coffee.com/equipment/lotus-coffee-products/magnesium-lo-co-sp,Lotus Coffee Products,['Subscription'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11178/images/94772/Lotus-Coffee-Water-Kit-Magnesium-WBG-1__09760.1675994514.1280.1280.jpg?c=1
Revolution Original Stainless Steel Steaming Pitchers,$21.99,https://prima-coffee.com/equipment/revolution/orig-ss-steam-pitcher-revol-pp,Revolution,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9913/images/89850/revolution-perfect-pour-pitcher-2_1__43441.1600441662.1280.1280.jpg?c=1
